Population,Behavior,Hr38_Ratio
P1a,NoFood,1.003661383231053
P1a,NoFood,2.9336899779973256
P1a,NoFood,1.4032979976442874
P1a,NoFood,1.1071035666916853
P1a,NoFood,1.4307376219000492
P1a,NoFood,1.6029672879380399
P1a,NoFood,1.7277650175197412
P1a,NoFood,1.5306776617676399
P1a,NoFood,0.9984108754874206
P1a,NoFood,4.232851667659071
P1a,NoFood,3.7300603841725546
P1a,NoFood,1.3597416494687762
P1a,NoFood,1.313724609360377
P1a,NoFood,1.1235739696864677
P1a,NoFood,2.005519825432829
P1a,NoFood,1.1709864497155265
P1a,NoFood,0.8830462808226187
P1a,NoFood,1.3198202824133505
P1a,NoFood,1.1496442790940538
P1a,NoFood,1.6631129186287745
P1a,NoFood,2.616300426912003
P1a,NoFood,1.6537208278291504
P1a,NoFood,1.036390141187269
P1a,NoFood,1.1578735220351128
P1a,NoFood,0.8681112281826927
P1a,NoFood,0.8658520027155465
P1a,NoFood,0.934776530734513
P1a,NoFood,1.1455933583374487
P1a,NoFood,1.3225149256983484
P1a,NoFood,1.5914983138941312
P1a,NoFood,1.1383836247414927
P1a,NoFood,1.01814807878922
P1a,NoFood,1.3377401152960828
P1a,NoFood,0.8344078583287217
P1a,NoFood,0.971460686185302
P1a,NoFood,0.9229152601433019
P1a,NoFood,1.2730282816209841
P1a,NoFood,1.4169245814876603
P1a,NoFood,1.1083457526080478
P1a,NoFood,1.2980301627664435
P1a,NoFood,2.650114868835818
P1a,NoFood,2.571036971088515
P1a,NoFood,1.431415350831329
P1a,NoFood,1.794893835396754
P1a,NoFood,4.066620251512119
P1a,NoFood,1.0498500077685218
P1a,NoFood,3.3756505499636105
P1a,NoFood,2.5819322621962093
P1a,NoFood,1.6656628530712665
P1a,NoFood,1.6395769241493405
P1a,NoFood,3.3822845809380664
P1a,NoFood,1.4942953754834944
P1a,NoFood,2.1755364860320583
P1a,NoFood,2.147818572496263
P1a,NoFood,1.1863987211692169
P1a,NoFood,1.5448365166720621
P1a,NoFood,3.0913496960766254
Tk,NoFood,5.4102451401514395
Tk,NoFood,3.2839186084673453
Tk,NoFood,7.455964735053724
Tk,NoFood,4.729331137695549
Tk,NoFood,5.249625026783802
Tk,NoFood,7.183293030089688
Tk,NoFood,5.21482040636598
Tk,NoFood,7.186373673338557
Tk,NoFood,1.6039108510720197
Tk,NoFood,2.254224565995612
Tk,NoFood,2.29315144766147
Tk,NoFood,4.46621251272414
Tk,NoFood,1.3660294288031514
Tk,NoFood,1.4863853463981487
Tk,NoFood,4.135521965044875
Tk,NoFood,4.697835497835498
Tk,NoFood,3.061409986934045
Tk,NoFood,0.9572615433775362
Tk,NoFood,11.45342949209759
Tk,NoFood,5.925911157189569
Tk,NoFood,5.373621178695241
Tk,NoFood,3.631211261687152
Tk,NoFood,3.1846432676155954
Tk,NoFood,3.6616809333780123
Tk,NoFood,3.368751332744387
Tk,NoFood,2.779856012834963
Tk,NoFood,2.2481869802854044
Tk,NoFood,2.855650192589377
Tk,NoFood,2.831102255580918
Tk,NoFood,4.740442688646653
Tk,NoFood,2.3977065128871087
Tk,NoFood,3.8915926997107815
Tk,NoFood,5.551804475906718
Tk,aggression,11.977700818699573
Tk,aggression,8.28040129622231
Tk,aggression,9.058143561060062
Tk,aggression,6.73478504095452
Tk,aggression,7.684270952927669
Tk,aggression,11.84827765348617
Tk,aggression,12.191683579643447
Tk,aggression,10.75487552633523
Tk,aggression,10.462270074610325
Tk,aggression,5.812633892295191
Tk,aggression,3.2256500701780304
Tk,aggression,9.156885531667635
aSP2,mesh,1.095016356340602
aSP2,mesh,1.7028127794488253
aSP2,mesh,1.304308275253579
aSP2,mesh,0.9768099821057213
aSP2,mesh,0.9310598159408597
aSP2,mesh,0.9315648962617498
aSP2,mesh,1.4025548850943639
aSP2,mesh,0.9640942323314378
aSP2,mesh,0.8439255119495287
aSP2,mesh,1.0112050637469787
aSP2,mesh,1.2242120790310183
aSP2,mesh,1.5902115404670416
aSP2,mesh,1.2945803919085759
aSP2,mesh,1.106631957357134
aSP2,mesh,1.2970124546061241
aSP2,mesh,0.9461379626797186
aSP2,mesh,1.2559118680553358
aSP2,mesh,1.0570802859385977
aSP2,mesh,0.9956091787255162
aSP2,mesh,1.4637582781456955
aSP2,mesh,1.150521523178808
aSP2,mesh,1.2618311783874698
aSP2,mesh,1.6481025964469673
aSP2,mesh,1.0457422808848782
aSP2,mesh,1.6458218585254545
aSP2,mesh,1.3512176410417815
aSP2,mesh,1.0323453004556877
aSP2,mesh,1.2318684452330406
aSP2,mesh,1.2691723584707282
aSP2,mesh,0.9358055382915546
aSP2,mesh,1.4559285338118553
aSP2,mesh,0.8763614783936546
aSP2,mesh,1.6251507583023903
aSP2,mesh,1.0205807228208215
aSP2,mesh,0.9848874078858518
aSP2,mesh,1.2901803748002179
P1a,mesh,1.287139885825552
P1a,mesh,1.1115840908121026
P1a,mesh,0.9067127555157257
P1a,mesh,1.254610913332931
P1a,mesh,0.9177335381726625
P1a,mesh,1.1928437820551498
P1a,mesh,1.1151688429078117
P1a,mesh,1.1233039565341272
P1a,mesh,1.166889241298723
P1a,mesh,2.489365862136386
P1a,mesh,0.8673840775900475
P1a,mesh,1.1437491423082202
P1a,mesh,2.328058487117505
P1a,mesh,1.4071015588787783
P1a,mesh,1.3081664758194835
P1a,mesh,1.3163961973701217
P1a,mesh,1.5545558585760204
P1a,mesh,1.296561951455723
P1a,mesh,1.4955309404192645
P1a,mesh,1.0576433796247218
P1a,mesh,1.160721226898477
P1a,mesh,1.1670530982470444
P1a,mesh,3.022459743171627
P1a,mesh,1.3895612515287405
P1a,mesh,1.1469181268921769
P1a,mesh,1.1468316012140165
P1a,mesh,1.0884884218534545
P1a,mesh,0.8465680064493839
P1a,mesh,0.813394788620626
P1a,mesh,1.0659430304426274
P1a,mesh,1.948266678262004
P1a,mesh,1.1162939852811686
P1a,mesh,1.0009348740637671
P1a,mesh,0.8295952537335931
P1a,mesh,0.9239139524187815
P1a,mesh,1.0399891421027305
P1a,mesh,2.052031558681783
P1a,mesh,1.1161684872340145
P1a,mesh,0.9350561676387991
P1a,mesh,1.1912940159861742
P1a,mesh,0.9446969465881706
P1a,mesh,1.236479272793826
P1a,mesh,0.9920690601836318
P1a,mesh,1.0671941867478532
P1a,mesh,1.0836085820145331
P1a,mesh,1.2952769984045773
P1a,mesh,1.289913076965396
P1a,mesh,1.120894537052319
P1a,mesh,1.2289024101585886
P1a,mesh,1.3242644908870664
P1a,mesh,1.5921220356077268
